type,speaker,text,slot,sprite_key,mode,audio_key
bg,,,,dialog_game03_bg_01,,
bgm,,,,,,bgm_maoudamashii_minzoku11
line,語り部,ペルセウス腕外縁航路 / NAV-POINT PΣ-118 / SECTOR PER-09 / GRID C-12,,,,
line,語り部,星々の海を滑る個人移動用航宙船,,,,
line,航行AI,「航路安定。ペルセウス中央港まで、残り 14時間14分 です。」,,,,
bg,,,,dialog_game03_bg_02,,
line,駒山キリ,「はーい皆さん見えてますかー？」,,,,
line,駒山キリ,「今日はなんと！「ペルセウス超新星クリエイター大賞」の授賞式に向かっております！」,,,,
line,コメント欄,「きたああああ、受賞式前配信助かる」\n「衣装かわいい」\n「宇宙船から配信してて草」\n「0011011001010110102001010」,,,,
line,駒山キリ,「いやほんと意味わかんないよね。ただただ配信してただけなのに、なんか銀河規模になってた。受賞コメントまだ考えてないんだけど。」,,,,
line,コメント欄,「謙遜やめろ」\n「お前は宇宙の女」\n「俺も誇らしいよ」\n「船内ツアーして」,,,,,
line,語り部,コメント欄が高速で流れる。,,,,
line,語り部,全てのコメントには追いつけないほどに。,,,,
line,駒山キリ,「船内ツアー？いいよ～」,,,,
line,航行AI,「ご注意ください。移動中の撮影は安全のため……」,,,,
line,駒山キリ,「だいじょぶ だいじょぶ！」,,,,
se,,,,,,ship_warning
line,語り部,突然、警告音が鳴り響く。,,,,
line,航行AI,「警告。外部より高エネルギー反応接近。」,,,,
line,駒山キリ,「……え？」,,,,
line,語り部,駒山もコメント欄もざわめく。,,,,
line,航行AI,「回避機動シークエンス……失敗。」,,,,
se,,,,,,ship_hit
fx_shake,,,,,hit,
line,語り部,船体が激しく揺れる。,,,,
line,駒山キリ,「えっ！？ええっ！？ちょっと！！」,,,,
line,コメント欄,「ガチ？」\n「揺れてる」\n「やばくね？」\n「ｺﾏﾔｰﾏ ｷｹﾝ」,,,,
se,,,,,,ship_hit
fx_shake,,,,,hit,
line,語り部,衝撃。,,,,
line,航行AI,「被弾確認。シールドユニット全壊。」,,,,
line,駒山キリ,「はぁ！？！？何に襲われてるの！？！？」,,,,
line,航行AI,「識別不能機による攻撃。通信……応答なし。」,,,,
line,コメント欄,「宙賊？」\n「通報して」\n「撮れ高キタ」\n「不謹慎」,,,,
se,,,,,,ship_hit
fx_shake,,,,,hit,
line,語り部,再び激震が走る。,,,,
line,航行AI,「推進ユニット破損。自動修復……失敗。主機関出力低下。航行継続不能。」,,,,
line,駒山キリ,「いやいやいやいや待って！！」,,,,
line,航行AI,「最寄りの地球人類タイプの個体が24時間以上生存可能な天体を検索中……」,,,,
line,語り部,短い沈黙の後、幸いにも検索候補の天体がディスプレイに浮かび上がる。,,,,
line,航行AI,「候補：コーヤコヤン星。」,,,,
line,語り部,ディスプレイに赤茶色の惑星が映し出される。その惑星は雲海に埋もれ、地表の様子はうかがい知れなかった。,,,,
line,航行AI,「大気組成適合率[96%]……生存可能。地表環境：強風、岩石砂漠、旧採掘施設あり。」,,,,
line,駒山キリ,"「“生存可能” じゃないのよ！！」",,,,
se,,,,,,ship_warning
line,語り部,警報が強くなる。,,,,
line,航行AI,「船体完全崩壊予測まで182秒。脱出ポッド起動。」,,,,
line,駒山キリ,「えっ私ひとりで脱出！？」,,,,
line,航行AI,「本船は単独運用仕様です。ですがご安心ください、本船は ペルセア・ダイナミクス社 製、炭素系アミノ酸生命体標準エマージェンシーキットを搭載しております。」,,,,
line,航行AI,「水・栄養バー・簡易医療用品・多目的補修フォーム・救難ビーコン。遭難者満足度100%。生き残れなかったとのクレームはゼロ件です。」,,,,
line,航行AI,「“帰れる”を、もっと当たり前に。ペルセア・ダイナミクス・サバイバルソリューション。」,,,,
line,航行AI,「なお、当社法務部の指導により記載、極限環境下での生存を保証するものではありません。」,,,,
line,駒山キリ,「今CMみたいなの挟んだ！？」,,,,
line,語り部,脱出ポッド格納庫への扉が開く。,,,,
line,航行AI,「乗員は速やかに搭乗してください。」,,,,
bg,,,,dialog_game03_bg_03,,
line,語り部,搭乗し、カウントダウンの後、脱出ポッドが発射される。,,,,
se,,,,,,pod_launch
fx_shake_start,,,,,descent,
line,語り部,轟音。 宇宙船から切り離される脱出ポッド。 身体が座席に押し潰される。,,,,
line,駒山キリ,「ぎゃあああああああああ！！」,,,,
line,航行AI,「降下シーケンス開始。」,,,,
line,駒山キリ,「ねえこれ安全！？」,,,,
line,航行AI,「理論上は。」,,,,
line,駒山キリ,「理論上！？」,,,,
fx_shake_stop,,,,,,
bg,,,,dialog_game03_bg_04,,
line,語り部,大気圏突入し、減速シークエンスに入る脱出ポッド。その間も配信は続いている。,,,,
line,コメント欄,「神回すぎる」\n「生きて」\n「やばい」\n「え？この状況から入れる保険があるんですか！？」,,,,
line,語り部,赤茶色の惑星に流される船体、高速で流れゆくコメント、そのコメントを見逃したのも仕方のないことであった。,,,,
line,?????,「ｵﾚ\n—ｵﾏｴ\n\n——ﾐﾂｹﾀ……」,,,,
line,語り部,果たしてこのコメントの意味は？\n駒山キリは無事に帰還できるのだろうか……,,,,
bgm_stop,,,,,2.0,
end,,,,,,
